Date Time,Names,Prices,Change,% Change,Market Cap,Average Volume,Volume
2020-12-17 10:58:30.416077,The Bombay Dyeing and Manufacturing Company Limited,83.35,+4.70,+5.98%,17.215B,1.913M,11.156M
2020-12-17 10:58:30.416077,National Aluminium Company Limited,43.85,-0.50,-1.13%,81.903B,15.397M,10.663M
2020-12-17 10:58:30.416077,V-GUARD INDUSTRIES,160.25,0.00,0.00%,N/A,N/A,9.497M
2020-12-17 10:58:30.416077,The Federal Bank Limited,68.10,+0.35,+0.52%,135.909B,37.735M,9.351M
2020-12-17 10:58:30.416077,ITC Limited,212.25,-1.75,-0.82%,2.612T,29.255M,9.28M
2020-12-17 10:58:30.416077,Bharat Heavy Electricals Limited,36.50,+0.15,+0.41%,127.095B,35.933M,9.287M
2020-12-17 10:58:30.416077,The Lakshmi Vilas Bank Limited,7.65,0.00,0.00%,2.576B,"342,940",8.648M
2020-12-17 10:58:30.416077,State Bank of India,268.80,-0.60,-0.22%,2.399T,55.326M,8.568M
2020-12-17 10:58:30.416077,The Tata Power Company Limited,75.80,-0.35,-0.46%,242.207B,26.027M,8.244M
2020-12-17 10:58:30.416077,IndusInd Bank Limited,942.10,+20.30,+2.20%,713.173B,19.578M,8.305M
2020-12-17 10:58:30.416077,DLF Limited,234.60,-0.80,-0.34%,580.844B,13.831M,8.311M
2020-12-17 10:58:30.416077,Indian Oil Corporation Limited,96.10,-0.25,-0.26%,904.701B,19.97M,8.224M
