Date Time,Names,Prices,Change,% Change,Market Caps,Total Volume,Circulating Supplys
2020-12-17 11:45:53.430589,NEO INR,"1,309.59",-2.36,-0.18%,92.377B,38.2B,70.539M
2020-12-17 11:45:53.430589,Cosmos INR,403.25,-1.79,-0.44%,83.619B,21.307B,207.362M
2020-12-17 11:45:53.430589,Cosmos INR,399.41,-5.63,-1.39%,82.82B,21.021B,207.358M
2020-12-17 11:45:53.430589,VeChain INR,1.2444,-0.0287,-2.25%,80.034B,13.887B,64.316B
2020-12-17 11:45:53.430589,Dash INR,"7,666.33",+53.32,+0.70%,75.666B,49.224B,9.87M
2020-12-17 11:45:53.430589,IOTA INR,23.82,-0.62,-2.55%,66.2B,1.736B,2.78B
2020-12-17 11:45:53.430589,THETA INR,64.39,-0.33,-0.51%,64.388B,5.737B,1B
2020-12-17 11:45:53.430589,Waves INR,610.62,-4.56,-0.74%,63.392B,6.838B,103.816M
2020-12-17 11:45:53.430589,Zcash INR,"5,225.85",-31.56,-0.60%,55.946B,37.856B,10.706M
2020-12-17 11:45:53.430589,EthereumClassic INR,477.39,-4.51,-0.94%,55.527B,66.489B,116.313M
2020-12-17 11:45:53.430589,Celsius INR,189.74,-1.19,-0.62%,45.322B,746.136M,238.864M
2020-12-17 11:45:53.430589,Kusama INR,"4,211.49",-41.02,-0.96%,35.672B,6.269B,8.47M
2020-12-17 11:45:56.165557,Polkadot INR,394.10,+1.63,+0.41%,350.864B,42.738B,890.291M
2020-12-17 11:45:56.165557,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
2020-12-17 11:45:56.165557,BinanceCoin INR,"2,242.06",-37.99,-1.67%,323.769B,29.648B,144.407M
2020-12-17 11:45:56.165557,Stellar INR,13.76,-0.15,-1.04%,300.188B,95.922B,21.808B
2020-12-17 11:45:56.165557,BitcoinSV INR,"13,185.83",-219.62,-1.64%,245.25B,44.669B,18.6M
2020-12-17 11:45:56.165557,USDCoin INR,73.44,-0.16,-0.22%,241.511B,49.238B,3.289B
2020-12-17 11:45:56.165557,EOS INR,227.03,-0.58,-0.26%,213.111B,206.355B,938.674M
2020-12-17 11:45:56.165557,Monero INR,"11,409.73",-79.52,-0.69%,202.954B,114.159B,17.788M
2020-12-17 11:45:56.165557,NEM INR,18.87,+0.11,+0.58%,169.858B,9.608B,9B
2020-12-17 11:45:56.165557,TRON INR,2.2753,-0.0042,-0.18%,163.05B,61.95B,71.66B
2020-12-17 11:45:56.165557,Tezos INR,171.03,-2.58,-1.49%,128.902B,14.704B,753.682M
2020-12-17 11:45:56.165557,CounosX INR,"6,463.68",-21.18,-0.33%,114.455B,49.527M,17.707M
2020-12-17 11:45:56.165557,NEO INR,"1,309.33",-2.62,-0.20%,92.359B,38.188B,70.539M
2020-12-17 11:45:56.165557,Cosmos INR,403.13,-1.91,-0.47%,83.593B,21.301B,207.362M
2020-12-17 11:45:56.165557,Cosmos INR,399.41,-5.63,-1.39%,82.82B,21.021B,207.358M
2020-12-17 11:45:56.165557,VeChain INR,1.2449,-0.0282,-2.22%,80.064B,13.886B,64.316B
2020-12-17 11:45:56.165557,Dash INR,"7,665.08",+52.06,+0.68%,75.653B,49.216B,9.87M
2020-12-17 11:45:56.165557,IOTA INR,23.85,-0.59,-2.42%,66.29B,1.738B,2.78B
2020-12-17 11:45:56.165557,THETA INR,64.43,-0.29,-0.45%,64.43B,5.734B,1B
2020-12-17 11:45:56.165557,Waves INR,610.85,-4.33,-0.70%,63.416B,6.836B,103.816M
2020-12-17 11:45:56.165557,Zcash INR,"5,224.90",-32.51,-0.62%,55.936B,37.845B,10.706M
2020-12-17 11:45:56.165557,EthereumClassic INR,477.25,-4.66,-0.97%,55.511B,66.47B,116.313M
2020-12-17 11:45:56.165557,Celsius INR,189.68,-1.25,-0.66%,45.308B,745.635M,238.864M
2020-12-17 11:45:56.165557,Kusama INR,"4,210.21",-42.30,-0.99%,35.661B,6.264B,8.47M
2020-12-17 11:45:56.165557,OmiseGO INR,243.24,-3.01,-1.22%,34.113B,13.771B,140.245M
2020-12-17 11:45:58.017232,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
