Date Time,Names,Prices,Change,% Change,Market Caps,Total Volume,Circulating Supplys
2020-12-17 11:45:44.000592,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
2020-12-17 11:45:44.000592,BinanceCoin INR,"2,242.80",-37.26,-1.63%,323.874B,29.625B,144.407M
2020-12-17 11:45:44.000592,Stellar INR,13.76,-0.15,-1.11%,299.986B,95.995B,21.808B
2020-12-17 11:45:44.000592,BitcoinSV INR,"13,187.70",-217.75,-1.62%,245.285B,44.655B,18.6M
2020-12-17 11:45:44.000592,USDCoin INR,73.46,-0.14,-0.19%,241.573B,49.231B,3.289B
2020-12-17 11:45:44.000592,EOS INR,227.06,-0.56,-0.24%,213.135B,206.431B,938.674M
2020-12-17 11:45:44.000592,Monero INR,"11,413.02",-76.22,-0.66%,203.013B,114.205B,17.788M
2020-12-17 11:45:44.000592,NEM INR,18.86,+0.10,+0.52%,169.756B,9.614B,9B
2020-12-17 11:45:44.000592,TRON INR,2.2758,-0.0038,-0.17%,163.08B,61.964B,71.66B
2020-12-17 11:45:44.000592,Tezos INR,171.09,-2.52,-1.45%,128.946B,14.698B,753.682M
2020-12-17 11:45:44.000592,CounosX INR,"6,465.91",-18.95,-0.29%,114.494B,49.544M,17.707M
2020-12-17 11:45:44.000592,NEO INR,"1,309.59",-2.36,-0.18%,92.377B,38.2B,70.539M
2020-12-17 11:45:44.000592,Cosmos INR,403.25,-1.79,-0.44%,83.619B,21.307B,207.362M
2020-12-17 11:45:44.000592,Cosmos INR,399.41,-5.63,-1.39%,82.82B,21.021B,207.358M
2020-12-17 11:45:44.000592,VeChain INR,1.2444,-0.0287,-2.25%,80.034B,13.887B,64.316B
2020-12-17 11:45:44.000592,Dash INR,"7,666.33",+53.32,+0.70%,75.666B,49.224B,9.87M
2020-12-17 11:45:44.000592,IOTA INR,23.82,-0.62,-2.55%,66.2B,1.736B,2.78B
2020-12-17 11:45:44.000592,THETA INR,64.39,-0.33,-0.51%,64.388B,5.737B,1B
2020-12-17 11:45:45.806077,Tether INR,73.38,-0.20,-0.27%,1.451T,5.574T,19.78B
2020-12-17 11:45:45.806077,Litecoin INR,"6,763.16",-42.43,-0.62%,447.082B,500.862B,66.106M
2020-12-17 11:45:45.806077,BitcoinCash INR,"22,760.94",+60.92,+0.27%,423.373B,299.924B,18.601M
2020-12-17 11:45:45.806077,Chainlink INR,986.84,+2.52,+0.26%,391.29B,99.773B,396.51M
2020-12-17 11:45:45.806077,Cardano INR,12.20,-0.19,-1.57%,379.417B,75.479B,31.112B
2020-12-17 11:45:45.806077,Polkadot INR,394.17,+1.69,+0.43%,350.923B,42.745B,890.291M
2020-12-17 11:45:45.806077,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
2020-12-17 11:45:45.806077,BinanceCoin INR,"2,242.80",-37.26,-1.63%,323.874B,29.625B,144.407M
2020-12-17 11:45:45.806077,Stellar INR,13.76,-0.15,-1.11%,299.986B,95.995B,21.808B
2020-12-17 11:45:45.806077,BitcoinSV INR,"13,187.70",-217.75,-1.62%,245.285B,44.655B,18.6M
2020-12-17 11:45:45.806077,USDCoin INR,73.46,-0.14,-0.19%,241.573B,49.231B,3.289B
2020-12-17 11:45:45.806077,EOS INR,227.06,-0.56,-0.24%,213.135B,206.431B,938.674M
2020-12-17 11:45:45.806077,Monero INR,"11,413.02",-76.22,-0.66%,203.013B,114.205B,17.788M
2020-12-17 11:45:45.806077,NEM INR,18.86,+0.10,+0.52%,169.756B,9.614B,9B
2020-12-17 11:45:45.806077,TRON INR,2.2758,-0.0038,-0.17%,163.08B,61.964B,71.66B
2020-12-17 11:45:45.806077,Tezos INR,171.09,-2.52,-1.45%,128.946B,14.698B,753.682M
2020-12-17 11:45:45.806077,CounosX INR,"6,465.91",-18.95,-0.29%,114.494B,49.544M,17.707M
2020-12-17 11:45:45.806077,NEO INR,"1,309.59",-2.36,-0.18%,92.377B,38.2B,70.539M
2020-12-17 11:45:45.806077,Cosmos INR,403.25,-1.79,-0.44%,83.619B,21.307B,207.362M
2020-12-17 11:45:45.806077,Cosmos INR,399.41,-5.63,-1.39%,82.82B,21.021B,207.358M
2020-12-17 11:45:45.806077,VeChain INR,1.2444,-0.0287,-2.25%,80.034B,13.887B,64.316B
2020-12-17 11:45:45.806077,Dash INR,"7,666.33",+53.32,+0.70%,75.666B,49.224B,9.87M
2020-12-17 11:45:45.806077,IOTA INR,23.82,-0.62,-2.55%,66.2B,1.736B,2.78B
2020-12-17 11:45:45.806077,THETA INR,64.39,-0.33,-0.51%,64.388B,5.737B,1B
2020-12-17 11:45:45.806077,Waves INR,610.62,-4.56,-0.74%,63.392B,6.838B,103.816M
2020-12-17 11:45:47.791125,Litecoin INR,"6,763.16",-42.43,-0.62%,447.082B,500.862B,66.106M
2020-12-17 11:45:47.791125,BitcoinCash INR,"22,760.94",+60.92,+0.27%,423.373B,299.924B,18.601M
2020-12-17 11:45:47.791125,Chainlink INR,986.84,+2.52,+0.26%,391.29B,99.773B,396.51M
2020-12-17 11:45:47.791125,Cardano INR,12.20,-0.19,-1.57%,379.417B,75.479B,31.112B
2020-12-17 11:45:47.791125,Polkadot INR,394.17,+1.69,+0.43%,350.923B,42.745B,890.291M
2020-12-17 11:45:47.791125,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
2020-12-17 11:45:47.791125,BinanceCoin INR,"2,242.80",-37.26,-1.63%,323.874B,29.625B,144.407M
2020-12-17 11:45:47.791125,Stellar INR,13.76,-0.15,-1.11%,299.986B,95.995B,21.808B
2020-12-17 11:45:47.791125,BitcoinSV INR,"13,187.70",-217.75,-1.62%,245.285B,44.655B,18.6M
2020-12-17 11:45:47.791125,USDCoin INR,73.46,-0.14,-0.19%,241.573B,49.231B,3.289B
2020-12-17 11:45:47.791125,EOS INR,227.06,-0.56,-0.24%,213.135B,206.431B,938.674M
2020-12-17 11:45:47.791125,Monero INR,"11,413.02",-76.22,-0.66%,203.013B,114.205B,17.788M
2020-12-17 11:45:47.791125,NEM INR,18.86,+0.10,+0.52%,169.756B,9.614B,9B
2020-12-17 11:45:47.791125,TRON INR,2.2758,-0.0038,-0.17%,163.08B,61.964B,71.66B
2020-12-17 11:45:47.791125,Tezos INR,171.09,-2.52,-1.45%,128.946B,14.698B,753.682M
2020-12-17 11:45:47.791125,CounosX INR,"6,465.91",-18.95,-0.29%,114.494B,49.544M,17.707M
2020-12-17 11:45:47.791125,NEO INR,"1,309.59",-2.36,-0.18%,92.377B,38.2B,70.539M
2020-12-17 11:45:47.791125,Cosmos INR,403.25,-1.79,-0.44%,83.619B,21.307B,207.362M
2020-12-17 11:45:47.791125,Cosmos INR,399.41,-5.63,-1.39%,82.82B,21.021B,207.358M
2020-12-17 11:45:47.791125,VeChain INR,1.2444,-0.0287,-2.25%,80.034B,13.887B,64.316B
2020-12-17 11:45:47.791125,Dash INR,"7,666.33",+53.32,+0.70%,75.666B,49.224B,9.87M
2020-12-17 11:45:47.791125,IOTA INR,23.82,-0.62,-2.55%,66.2B,1.736B,2.78B
2020-12-17 11:45:47.791125,THETA INR,64.39,-0.33,-0.51%,64.388B,5.737B,1B
2020-12-17 11:45:47.791125,Waves INR,610.62,-4.56,-0.74%,63.392B,6.838B,103.816M
2020-12-17 11:45:47.791125,Zcash INR,"5,225.85",-31.56,-0.60%,55.946B,37.856B,10.706M
2020-12-17 11:45:49.742854,BitcoinCash INR,"22,760.94",+60.92,+0.27%,423.373B,299.924B,18.601M
2020-12-17 11:45:49.742854,Chainlink INR,986.84,+2.52,+0.26%,391.29B,99.773B,396.51M
2020-12-17 11:45:49.742854,Cardano INR,12.20,-0.19,-1.57%,379.417B,75.479B,31.112B
2020-12-17 11:45:49.742854,Polkadot INR,394.17,+1.69,+0.43%,350.923B,42.745B,890.291M
2020-12-17 11:45:49.742854,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
2020-12-17 11:45:49.742854,BinanceCoin INR,"2,242.80",-37.26,-1.63%,323.874B,29.625B,144.407M
2020-12-17 11:45:49.742854,Stellar INR,13.76,-0.15,-1.11%,299.986B,95.995B,21.808B
2020-12-17 11:45:49.742854,BitcoinSV INR,"13,187.70",-217.75,-1.62%,245.285B,44.655B,18.6M
2020-12-17 11:45:49.742854,USDCoin INR,73.46,-0.14,-0.19%,241.573B,49.231B,3.289B
2020-12-17 11:45:49.742854,EOS INR,227.06,-0.56,-0.24%,213.135B,206.431B,938.674M
2020-12-17 11:45:49.742854,Monero INR,"11,413.02",-76.22,-0.66%,203.013B,114.205B,17.788M
2020-12-17 11:45:49.742854,NEM INR,18.86,+0.10,+0.52%,169.756B,9.614B,9B
2020-12-17 11:45:49.742854,TRON INR,2.2758,-0.0038,-0.17%,163.08B,61.964B,71.66B
2020-12-17 11:45:49.742854,Tezos INR,171.09,-2.52,-1.45%,128.946B,14.698B,753.682M
2020-12-17 11:45:49.742854,CounosX INR,"6,465.91",-18.95,-0.29%,114.494B,49.544M,17.707M
2020-12-17 11:45:49.742854,NEO INR,"1,309.59",-2.36,-0.18%,92.377B,38.2B,70.539M
2020-12-17 11:45:49.742854,Cosmos INR,403.25,-1.79,-0.44%,83.619B,21.307B,207.362M
2020-12-17 11:45:49.742854,Cosmos INR,399.41,-5.63,-1.39%,82.82B,21.021B,207.358M
2020-12-17 11:45:49.742854,VeChain INR,1.2444,-0.0287,-2.25%,80.034B,13.887B,64.316B
2020-12-17 11:45:49.742854,Dash INR,"7,666.33",+53.32,+0.70%,75.666B,49.224B,9.87M
2020-12-17 11:45:49.742854,IOTA INR,23.82,-0.62,-2.55%,66.2B,1.736B,2.78B
2020-12-17 11:45:49.742854,THETA INR,64.39,-0.33,-0.51%,64.388B,5.737B,1B
2020-12-17 11:45:49.742854,Waves INR,610.62,-4.56,-0.74%,63.392B,6.838B,103.816M
2020-12-17 11:45:49.742854,Zcash INR,"5,225.85",-31.56,-0.60%,55.946B,37.856B,10.706M
2020-12-17 11:45:49.742854,EthereumClassic INR,477.39,-4.51,-0.94%,55.527B,66.489B,116.313M
2020-12-17 11:45:51.569565,Chainlink INR,986.84,+2.52,+0.26%,391.29B,99.773B,396.51M
2020-12-17 11:45:51.569565,Cardano INR,12.20,-0.19,-1.57%,379.417B,75.479B,31.112B
2020-12-17 11:45:51.569565,Polkadot INR,394.17,+1.69,+0.43%,350.923B,42.745B,890.291M
2020-12-17 11:45:51.569565,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
2020-12-17 11:45:51.569565,BinanceCoin INR,"2,242.80",-37.26,-1.63%,323.874B,29.625B,144.407M
2020-12-17 11:45:51.569565,Stellar INR,13.76,-0.15,-1.11%,299.986B,95.995B,21.808B
2020-12-17 11:45:51.569565,BitcoinSV INR,"13,187.70",-217.75,-1.62%,245.285B,44.655B,18.6M
2020-12-17 11:45:51.569565,USDCoin INR,73.46,-0.14,-0.19%,241.573B,49.231B,3.289B
2020-12-17 11:45:51.569565,EOS INR,227.06,-0.56,-0.24%,213.135B,206.431B,938.674M
2020-12-17 11:45:51.569565,Monero INR,"11,413.02",-76.22,-0.66%,203.013B,114.205B,17.788M
2020-12-17 11:45:51.569565,NEM INR,18.86,+0.10,+0.52%,169.756B,9.614B,9B
2020-12-17 11:45:51.569565,TRON INR,2.2758,-0.0038,-0.17%,163.08B,61.964B,71.66B
2020-12-17 11:45:51.569565,Tezos INR,171.09,-2.52,-1.45%,128.946B,14.698B,753.682M
2020-12-17 11:45:51.569565,CounosX INR,"6,465.91",-18.95,-0.29%,114.494B,49.544M,17.707M
2020-12-17 11:45:51.569565,NEO INR,"1,309.59",-2.36,-0.18%,92.377B,38.2B,70.539M
2020-12-17 11:45:51.569565,Cosmos INR,403.25,-1.79,-0.44%,83.619B,21.307B,207.362M
2020-12-17 11:45:51.569565,Cosmos INR,399.41,-5.63,-1.39%,82.82B,21.021B,207.358M
2020-12-17 11:45:51.569565,VeChain INR,1.2444,-0.0287,-2.25%,80.034B,13.887B,64.316B
2020-12-17 11:45:51.569565,Dash INR,"7,666.33",+53.32,+0.70%,75.666B,49.224B,9.87M
2020-12-17 11:45:51.569565,IOTA INR,23.82,-0.62,-2.55%,66.2B,1.736B,2.78B
2020-12-17 11:45:51.569565,THETA INR,64.39,-0.33,-0.51%,64.388B,5.737B,1B
2020-12-17 11:45:51.569565,Waves INR,610.62,-4.56,-0.74%,63.392B,6.838B,103.816M
2020-12-17 11:45:51.569565,Zcash INR,"5,225.85",-31.56,-0.60%,55.946B,37.856B,10.706M
2020-12-17 11:45:51.569565,EthereumClassic INR,477.39,-4.51,-0.94%,55.527B,66.489B,116.313M
2020-12-17 11:45:51.569565,Celsius INR,189.74,-1.19,-0.62%,45.322B,746.136M,238.864M
2020-12-17 11:45:53.430589,Cardano INR,12.20,-0.19,-1.57%,379.417B,75.479B,31.112B
2020-12-17 11:45:53.430589,Polkadot INR,394.17,+1.69,+0.43%,350.923B,42.745B,890.291M
2020-12-17 11:45:53.430589,Polkadot INR,391.83,-0.64,-0.16%,348.841B,42.398B,890.284M
2020-12-17 11:45:53.430589,BinanceCoin INR,"2,242.80",-37.26,-1.63%,323.874B,29.625B,144.407M
2020-12-17 11:45:53.430589,Stellar INR,13.76,-0.15,-1.11%,299.986B,95.995B,21.808B
2020-12-17 11:45:53.430589,BitcoinSV INR,"13,187.70",-217.75,-1.62%,245.285B,44.655B,18.6M
2020-12-17 11:45:53.430589,USDCoin INR,73.46,-0.14,-0.19%,241.573B,49.231B,3.289B
2020-12-17 11:45:53.430589,EOS INR,227.06,-0.56,-0.24%,213.135B,206.431B,938.674M
2020-12-17 11:45:53.430589,Monero INR,"11,413.02",-76.22,-0.66%,203.013B,114.205B,17.788M
2020-12-17 11:45:53.430589,NEM INR,18.86,+0.10,+0.52%,169.756B,9.614B,9B
2020-12-17 11:45:53.430589,TRON INR,2.2758,-0.0038,-0.17%,163.08B,61.964B,71.66B
2020-12-17 11:45:53.430589,Tezos INR,171.09,-2.52,-1.45%,128.946B,14.698B,753.682M
2020-12-17 11:45:53.430589,CounosX INR,"6,465.91",-18.95,-0.29%,114.494B,49.544M,17.707M
